detector,dataset,f1,f1_pa_auc,f1_pa,f1_pa_ts_auc,aucpr,aucroc,time
knn,exchange-2_cpm_results.csv,0.5157894736837229,0.6267614738202976,1.0,0.35549450549450556,0.49887194041285265,0.782667349726776,0.5290485629811883
knn,exchange-3_cpc_results.csv,0.6666666666661805,0.7407886231415644,1.0,0.22272727272727275,0.5998529672991137,0.9151043115438109,0.5170974109787494
knn,exchange-4_cpc_results.csv,0.5769230769225776,0.7174605582524272,1.0,0.5410447761194029,0.6476966744028014,0.9367283950617284,0.648244007024914
knn,exchange-4_cpm_results.csv,0.8604651162785721,0.8934402046118955,1.0,0.9270258980785296,0.9519857332755274,0.9942890835579515,0.4708862089901231
knn,ec2_cpu_utilization_5f5533.csv,0.18365472910910774,0.18361301240576305,0.9950248756218906,0.1646349647113271,0.14749112797542607,0.4430066079295154,0.7688196040107869
knn,ec2_cpu_utilization_53ea38.csv,0.6726190476185656,0.8209900850358138,1.0,0.8042372881355933,0.6644790887766625,0.7832764317180617,1.7630259760189801
knn,ec2_cpu_utilization_fe7f93.csv,0.24319419237728182,0.2431543193450937,0.6666666666666666,0.1901060070671378,0.2287137755044033,0.46602513747054203,1.359078483976191
knn,ec2_disk_write_bytes_c0d644.csv,0.3540290620867289,0.3539202015754195,0.35733333333333334,0.036194640943193995,0.12789984366475676,0.40491051606953793,9.492054319009185
knn,elb_request_count_8c0756.csv,0.7915407854980111,0.9257575757575758,1.0,0.8785714285714286,0.8528294186446144,0.9748595814977973,8.241411996015813
knn,grok_asg_anomaly.csv,0.16811091854396285,0.2236006597516406,0.7979274611398964,0.048050879494763055,0.07076237677266459,0.5591580417727844,0.7088403459929395
knn,rds_cpu_utilization_e47b3b.csv,0.20849933598914552,0.24550058016210224,0.3194888178913738,0.02137728449646443,0.08238343273995827,0.4293144273127753,1.124953636986902
knn,machine_temperature_system_failure.csv,0.6091954022983506,0.7318927867779398,0.9386401326699835,0.624735648972264,0.7033626168233785,0.936934909142729,24.728166788001545
knn,rogue_agent_key_hold.csv,0.25578231292494696,0.255663497006432,0.25578231292517006,0.254822633317426,0.07719511259133803,0.3541912632821723,0.9682770869985688
knn,rogue_agent_key_updown.csv,0.21990837151167428,0.2198712862696099,0.31113730111962284,0.04170965239252622,0.07819958513741075,0.4023331687805372,15.345665663975524
knn,speed_7578.csv,0.845360824741777,0.8544781643227239,0.9130434782608696,0.7708737191913597,0.8399499346630201,0.9770585317460317,0.559419703000458
knn,TravelTime_387.csv,0.3117870722430828,0.31162629005975007,0.49546827794561926,0.03991285612835667,0.1265376124473826,0.7842987804878048,1.2440004130185116
knn,Twitter_volume_AAPL.csv,0.6599817684589735,0.6981899455943,0.8989784335981839,0.2643705745635371,0.4426781139683534,0.971696114019079,139.2826401499915
knn,Twitter_volume_AMZN.csv,0.5994423791816919,0.6559385967311147,0.7613526570048309,0.5111296798236248,0.42132547722753877,0.9258134076238982,117.61926939501427
knn,Twitter_volume_CRM.csv,0.9999999999995,0.9999280575539569,1.0,0.9855905511811023,1.0,1.0,112.96947103898856
knn,Twitter_volume_CVS.csv,0.8594847775170671,0.8950025159353637,1.0,0.7976683937823833,0.9062180109909296,0.995252619140549,116.20019708698965
knn,Twitter_volume_FB.csv,0.6606741573028876,0.812884828369663,1.0,0.7754901960784315,0.6645804708703844,0.8122044356192266,114.68419821298448
knn,Twitter_volume_IBM.csv,0.7131280388974341,0.8704379562043794,1.0,0.7944636678200692,0.7468263996683034,0.8588455778185404,117.11041929500061
knn,Twitter_volume_KO.csv,0.7995049504945578,0.8354756541851437,1.0,0.8757755816862648,0.9122475987282181,0.9820489281460897,118.05247149302159
knn,Twitter_volume_PFE.csv,0.42988019732165533,0.5005707133449779,0.8148148148148148,0.06032836960672012,0.23019784551152103,0.9180022044418699,120.43357102302252
knn,Twitter_volume_UPS.csv,0.2410071942442972,0.31438140863134173,0.6076923076923078,0.048578869830579824,0.08785355908005406,0.6532086787881205,18.69477979899966
lof,exchange-2_cpm_results.csv,0.5132743362827723,0.6664634146341462,1.0,0.5378787878787878,0.5459308984656188,0.7799692622950819,0.5052185890090186
lof,exchange-3_cpc_results.csv,0.4117647058818531,0.5246013150933414,0.8064516129032258,0.0903225806451613,0.2325766741607707,0.848317107093185,0.5424055979819968
lof,exchange-4_cpc_results.csv,0.5609756097556479,0.7288539276739867,1.0,0.5410447761194029,0.6420631603628927,0.9233458719135802,0.5748322689905763
lof,exchange-4_cpm_results.csv,0.8444444444439506,0.8654743205678352,1.0,0.7978632478632479,0.9152506248491225,0.990616576819407,0.547750912985066
lof,ec2_cpu_utilization_5f5533.csv,0.19354838709658226,0.20973756194705453,0.9975062344139651,0.17359624195325635,0.15542541539286595,0.46129129955947135,0.615813899989007
lof,ec2_cpu_utilization_53ea38.csv,0.5639534883716063,0.7105562838750072,1.0,0.4031914893617021,0.5597765884063827,0.7588133259911893,1.8384821499930695
lof,ec2_cpu_utilization_fe7f93.csv,0.24430264357316747,0.24426261399389207,0.2821052631578947,0.030265651979279905,0.08611799132383394,0.28037159739062123,1.7947284249821678
lof,ec2_disk_write_bytes_c0d644.csv,0.36021505376297996,0.3601047048437749,0.36512261580381467,0.0277088671085987,0.1315068246654577,0.4113571160217221,7.805570501979673
lof,elb_request_count_8c0756.csv,0.8636363636358729,0.965099715099715,1.0,0.932089552238806,0.9380931754319495,0.9909085903083701,11.111724332004087
lof,grok_asg_anomaly.csv,0.15774099318377624,0.22417543859649125,0.9746835443037974,0.07190490892250695,0.08550796485285851,0.5685596276695025,0.9700533340219408
lof,rds_cpu_utilization_e47b3b.csv,0.24570673711998206,0.26091846233169425,0.3194888178913738,0.02137728449646443,0.08769874371418379,0.4653028634361233,1.0549269480106886
lof,machine_temperature_system_failure.csv,0.6070215175533044,0.7143023447454637,0.9449081803005009,0.4841172328433706,0.5559144086515629,0.8984885830028972,32.49435641700984
lof,rogue_agent_key_hold.csv,0.25578231292494696,0.255663497006432,0.25578231292517006,0.254943746729461,0.07719511259133804,0.3541912632821723,0.8929845060047228
lof,rogue_agent_key_updown.csv,0.3120567375883891,0.31200682797119506,0.7049399198931909,0.2588366727869805,0.1543317830110605,0.7132493481177693,17.256321543012746
lof,speed_7578.csv,0.8315789473679277,0.8525030525030526,0.9032258064516129,0.7536228906298854,0.8316085231782984,0.9748015873015873,0.5552005829813424
lof,TravelTime_387.csv,0.33333333333305554,0.33316361167685,0.5540540540540541,0.036539912005028284,0.1385831141591079,0.8071437520882059,1.1203424309787806
lof,Twitter_volume_AAPL.csv,0.36007130124741193,0.4242335379374619,0.5685570710696338,0.032231657357285504,0.16087308662278704,0.8758742287200262,138.45814318099292
lof,Twitter_volume_AMZN.csv,0.4762704745900653,0.5341562082173377,0.6296444266879744,0.413075883962544,0.29965160352976405,0.8450573131199188,111.97716015501646
lof,Twitter_volume_CRM.csv,0.7227414330213452,0.7226750474414025,0.8539877300613498,0.0825316716183715,0.4487138996885358,0.9770568484007371,119.28048499097349
lof,Twitter_volume_CVS.csv,0.8761061946897731,0.8760439635825517,1.0,0.7989655172413792,0.9467345492449593,0.997186712430372,110.81178837802145
lof,Twitter_volume_FB.csv,0.7006578947363868,0.8648148148148149,1.0,0.8579933388842631,0.7242011729691212,0.8738084623814235,112.59110750301625
lof,Twitter_volume_IBM.csv,0.6278081360043578,0.7559275557452957,1.0,0.3812295973884657,0.6166539096230654,0.8942137680865965,118.86753477799357
lof,Twitter_volume_KO.csv,0.7958950969208435,0.9048502261261383,1.0,0.8744572691263414,0.9071753046735698,0.9793125027568259,120.50305244201445
lof,Twitter_volume_PFE.csv,0.1582685153869848,0.21060060756435847,0.34196891191709844,0.02203351053091986,0.06001767647661703,0.6180402189960135,113.23688790699816
lof,Twitter_volume_UPS.csv,0.24362606232259879,0.33246489663477746,0.7707317073170732,0.04604646678877857,0.10891591930014555,0.7542543079022106,14.569108127005165
isoforest,exchange-2_cpm_results.csv,0.20895522388027823,0.29201995012468823,0.5245901639344263,0.04296959630244818,0.09472192548161193,0.4859801912568306,0.9933525839878712
isoforest,exchange-3_cpc_results.csv,0.8636363636358729,0.9626436781609196,1.0,0.9283132530120483,0.8443961091470615,0.9414186369958275,1.15384028601693
isoforest,exchange-4_cpc_results.csv,0.3309859154926497,0.36422716840916547,0.7152317880794702,0.07414542778781189,0.17389274105944671,0.8403018904320987,1.1750255670049228
isoforest,exchange-4_cpm_results.csv,0.7244094488184313,0.8499269272926563,1.0,0.7865190365190367,0.8047443252956852,0.9544642857142857,1.2182014840072952
isoforest,ec2_cpu_utilization_5f5533.csv,0.18273184102313225,0.18269031295750815,0.8830022075055188,0.051630425335905866,0.07713448593158428,0.40998623348017615,1.2655618120043073
isoforest,ec2_cpu_utilization_53ea38.csv,0.773006134968851,0.9192307692307692,1.0,0.8785714285714286,0.743233320266426,0.807852422907489,1.4573628139914945
isoforest,ec2_cpu_utilization_fe7f93.csv,0.27786417833050203,0.27781951713204656,0.6666666666666666,0.1901060070671378,0.24980508901269233,0.5303715973906212,1.2048272950050887
isoforest,ec2_disk_write_bytes_c0d644.csv,0.33967046894758685,0.3395651180894661,0.3549668874172186,0.02384786282992995,0.12367573455775156,0.39469201475460225,1.6200182850006968
isoforest,elb_request_count_8c0756.csv,0.7784431137719745,0.9147355276068148,1.0,0.8785714285714286,0.8600726448219148,0.9752257709251101,1.6189867659995798
isoforest,grok_asg_anomaly.csv,0.17128027681637809,0.22471185846908392,0.2805100182149362,0.20819029251044677,0.2601837483805516,0.5777218840501177,1.2657064980012365
isoforest,rds_cpu_utilization_e47b3b.csv,0.19422150882798092,0.2527847238008638,0.3129890453834116,0.18881445856712092,0.07355176584445564,0.38658865638766515,1.2180450419837143
isoforest,machine_temperature_system_failure.csv,0.7044844768105474,0.7700932667041887,0.9248366013071895,0.6371103342854156,0.7854783280512104,0.9685232718855754,2.438440202997299
isoforest,rogue_agent_key_hold.csv,0.25578231292494696,0.255663497006432,0.25578231292517006,0.254943746729461,0.07719511259133804,0.3541912632821723,1.2857985050068237
isoforest,rogue_agent_key_updown.csv,0.22515991471195368,0.22512205549531716,0.2711864406779661,0.02366570501262172,0.07217906507092459,0.33596617807144125,1.4658514680049848
isoforest,speed_7578.csv,0.7727272727267737,0.8218662227602906,0.8983957219251336,0.7245020150000032,0.7946423655936599,0.9632936507936508,0.8046616580104455
isoforest,TravelTime_387.csv,0.4910179640714858,0.49079139019258783,0.8200000000000001,0.05696638655462186,0.26248823459074455,0.9117419812896759,1.3063348430150654
isoforest,Twitter_volume_AAPL.csv,0.7814407814402818,0.8691714359863953,1.0,0.8599337748344371,0.8657710751758527,0.9873623729017508,5.630287910986226
isoforest,Twitter_volume_AMZN.csv,0.7611859838270045,0.8004850795054645,0.9146836912362158,0.5568230281802743,0.7367410537606626,0.9672007369236643,4.55089407399646
isoforest,Twitter_volume_CRM.csv,0.9999999999995,0.9999280575539569,1.0,0.9855905511811023,1.0,1.0,5.039348582999082
isoforest,Twitter_volume_CVS.csv,0.34123222748786863,0.34119647818270954,0.451539338654504,0.039219302699148556,0.13157166563889056,0.8419931622693541,4.919736782001564
isoforest,Twitter_volume_FB.csv,0.20113738401640036,0.29768111997349167,0.5573192239858907,0.050812821102676174,0.09481391714421966,0.5058458385210103,4.386937161994865
isoforest,Twitter_volume_IBM.csv,0.5637755102035816,0.7081823681131674,0.9968612680477087,0.14258115864048068,0.47667958504131297,0.7951804407514629,5.131411409005523
isoforest,Twitter_volume_KO.csv,0.277932960893554,0.32120060224059044,0.615923009623797,0.18251709565625812,0.13377309526100012,0.5422005260023819,4.043110951985
isoforest,Twitter_volume_PFE.csv,0.28859857482149304,0.3808931157293257,0.519344262295082,0.03601126597819024,0.12932009395894967,0.8330963290142899,4.667888577998383
isoforest,Twitter_volume_UPS.csv,0.28700361010789555,0.38182303772971854,0.9561270801815431,0.06418566435390474,0.12900435569312346,0.7149422594031007,2.1280454930092674
ocsvm,exchange-2_cpm_results.csv,0.3865546218482932,0.49441548771407295,0.9937888198757764,0.09547257352390931,0.26139971815802826,0.646516393442623,0.5211644460214302
ocsvm,exchange-3_cpc_results.csv,0.6915887850462311,0.7948113207547169,1.0,0.22272727272727275,0.6439442270133383,0.9291515994436718,0.6208044060040265
ocsvm,exchange-4_cpc_results.csv,0.40522875816947795,0.5151315789473685,0.972972972972973,0.11305542830966563,0.33661284570457856,0.8942418981481483,0.6905104460020084
ocsvm,exchange-4_cpm_results.csv,0.7810650887568978,0.8534183288917601,0.9937888198757764,0.1391012056996712,0.7425304904760907,0.9761118598382749,0.4919193850073498
ocsvm,ec2_cpu_utilization_5f5533.csv,0.18331805682843108,0.1832764089160994,0.99009900990099,0.14671425282063089,0.13926862976427665,0.4303248898678414,1.2522998559870757
ocsvm,ec2_cpu_utilization_53ea38.csv,0.679867986798231,0.8539735099337747,1.0,0.8042372881355933,0.6483808789235768,0.7635324889867843,1.341286045993911
ocsvm,ec2_cpu_utilization_fe7f93.csv,0.33354075917831566,0.3334888768859155,0.6666666666666666,0.1901060070671378,0.21847204857817437,0.5881006864988558,0.9948278160009068
ocsvm,ec2_disk_write_bytes_c0d644.csv,0.38840579710097417,0.3882888454176395,0.3895348837209302,0.049849745962245444,0.14160014988326147,0.4250934970456641,2.9240914749971125
ocsvm,elb_request_count_8c0756.csv,0.8668555240788289,0.9659090909090908,1.0,0.932089552238806,0.925793965073882,0.9885820484581498,4.505670315003954
ocsvm,grok_asg_anomaly.csv,0.17672790901114038,0.22868727632681035,0.2805100182149362,0.22296935541938911,0.31251407142029886,0.582660501297497,1.3996301429870073
ocsvm,rds_cpu_utilization_e47b3b.csv,0.20411392405036655,0.265698755415588,0.3192338387869114,0.01956358767394272,0.07524817620788396,0.36913821585903084,1.2798653390200343
ocsvm,machine_temperature_system_failure.csv,0.7080745341610056,0.7637337219747383,0.9301561216105177,0.6480928336661022,0.7892497646265877,0.9706495181119619,25.561985912005184
ocsvm,rogue_agent_key_hold.csv,0.25578231292494696,0.255663497006432,0.25578231292517006,0.254943746729461,0.07719511259133804,0.3541912632821723,0.7872859659837559
ocsvm,rogue_agent_key_updown.csv,0.21472143147601816,0.2146851158015043,0.30068337129840544,0.030193743033005378,0.07627018264287456,0.38281309333940916,6.6262589230027515
ocsvm,speed_7578.csv,0.6814159292030728,0.71420886981402,0.9438202247191011,0.6566149752378446,0.7213655786799904,0.9475694444444445,0.6148730300192256
ocsvm,TravelTime_387.csv,0.287215411558423,0.287065167296525,0.6188679245283019,0.11052454805887582,0.13914177861308924,0.7988744570664885,1.028534312004922
ocsvm,Twitter_volume_AAPL.csv,0.7802469135797472,0.862100526381578,0.9801980198019802,0.19385295031745325,0.6808286604476566,0.9802425312021605,76.50655972599634
ocsvm,Twitter_volume_AMZN.csv,0.6503496503491537,0.7514242985441646,0.8843995510662177,0.5779654314471053,0.5038216156360487,0.9408728785315079,47.58540345999063
ocsvm,Twitter_volume_CRM.csv,0.9999999999995,0.9999280575539569,1.0,0.9855905511811023,1.0,1.0,56.68305039999541
ocsvm,Twitter_volume_CVS.csv,0.5952133194584124,0.7030593487394958,0.9949748743718593,0.14880087642001477,0.5398122318773668,0.968869749144613,50.20128352701431
ocsvm,Twitter_volume_FB.csv,0.2915717539858376,0.4303736050460941,0.9937106918238994,0.06382945518672846,0.2064777162770134,0.6709391811847618,54.193669096013764
ocsvm,Twitter_volume_IBM.csv,0.6112266112261162,0.7609214806211368,1.0,0.5566132264529058,0.6079391127656397,0.803169549617377,55.94096990098478
ocsvm,Twitter_volume_KO.csv,0.49056603773539065,0.5646893867577826,1.0,0.269583604424203,0.5589459466297233,0.8536459022539808,46.49192727799527
ocsvm,Twitter_volume_PFE.csv,0.4457831325297018,0.5271193631936573,0.846153846153846,0.24960348929421097,0.2624230728229886,0.9145041279649005,48.58736217999831
